,Code AGB,Code CIQUAL,Groupe d'aliment,Sous-groupe d'aliment,Nom du Produit en Français,LCI Name,Agriculture,Transformation,Emballage,Transport,Supermarché et distribution,Consommation,Total
2,11084,11084,aides culinaires et ingrédients divers,algues,"Agar (algue), cru","Seaweed, agar, raw",4.5692586,1.4924151,0.29025198,0.38440419,0.020134715,0.0099427296,6.7664073145999994
3,11023,11023,aides culinaires et ingrédients divers,herbes,"Ail séché, poudre","Garlic, powder, dried",0.066043008,0,0.47839023,0.18926756,0.015708527,0,0.749409325
4,11000,11000,aides culinaires et ingrédients divers,herbes,"Ail, cru","Garlic, fresh",0.08255376,0,0,0.17356263,0.019635659,0.080370398,0.35612244699999995
5,11093,11093,aides culinaires et ingrédients divers,herbes,"Aneth, frais","Dill, fresh",0.22251419,0,0.32945583,0.16296786,0.019635659,0.080370398,0.8149439369999999
6,20995,20995,aides culinaires et ingrédients divers,algues,"Ao-nori (Enteromorpha sp.), séchée ou déshydratée","Sea lettuce (Enteromorpha sp.), dried or dehydrated",4.5692586,1.4924151,0.29025198,0.38440419,0.020134715,0.0099427296,6.7664073145999994
7,20998,20998,aides culinaires et ingrédients divers,algues,"Ascophylle noueux ou goémon noir (Ascophyllum nodosum), séché ou déshydraté","North Atlantic rockweed (Ascophyllum nodosum), dried or dehydrated",4.5692586,1.4924151,0.29025198,0.19892614,0.020134715,0.0099427296,6.5809292646
8,37000,37000,aides culinaires et ingrédients divers,ingrédients divers,Base de pizza à la crème,cream sauce for pizza base,1.4380756,0.29648764,0.11005412,0.11603438,0.019530673,0,1.980182413
9,37002,37002,aides culinaires et ingrédients divers,ingrédients divers,Base de pizza tomatée,Tomato sauce for pizza base,0.23297293,0.16802913,0.11005412,0.19066785,0.019530673,0,0.7212547029999999
10,11033,11033,aides culinaires et ingrédients divers,herbes,"Basilic, frais","Basil, fresh",0.22251419,0,0.32945583,0.16296786,0.019635659,0.080370398,0.8149439369999999
11,11032,11032,aides culinaires et ingrédients divers,herbes,"Basilic, séché","Basil, dried",0.88293631,0,0.47839023,0.17575,0.015708527,0,1.5527850669999999
12,11507,11507,aides culinaires et ingrédients divers,ingrédients divers,Bicarbonate de soude,Sodium bicarbonate,0,0.90318532,0.10111942,0.10876678,0.016099071,0,1.129170591
13,11025,11025,aides culinaires et ingrédients divers,épices,"Cannelle, poudre","Cinnamon, powder",7.9183712,0.44532749,0.47839023,0.33498802,0.015708527,0,9.192785467
14,11075,11075,aides culinaires et ingrédients divers,épices,"Cardamome, poudre","Cardamom, powder",7.9183712,0.44532749,0.47839023,0.33498802,0.015708527,0,9.192785467
15,11064,11064,aides culinaires et ingrédients divers,épices,"Carvi, graine","Caraway, seed",7.9183712,0.44532749,0.47839023,0.33498802,0.015708527,0,9.192785467
16,11002,11002,aides culinaires et ingrédients divers,herbes,"Cerfeuil, frais","Chervil, fresh",0.22251419,0,0.32945583,0.16296786,0.019635659,0.080370398,0.8149439369999999
17,11003,11003,aides culinaires et ingrédients divers,herbes,"Ciboule ou Ciboulette, fraîche","Chive or spring onion, fresh",0.08255376,0,0.32945583,0.16296786,0.019635659,0.080370398,0.674983507
18,11052,11052,aides culinaires et ingrédients divers,épices,Clou de girofle,Cloves,7.9104529,0.44488216,0.47839023,0.33480131,0.015708527,0,9.184235126999999
19,11094,11094,aides culinaires et ingrédients divers,herbes,"Coriandre, fraiche","Coriander, fresh",0.39568158,0,0.30248619,0.22559266,0.01727938,0.032148159,0.9731879689999999
20,11026,11026,aides culinaires et ingrédients divers,épices,"Coriandre, graine","Coriander, seed",0.35971052,0,0.47839023,0.25043965,0.015708527,0,1.1042489269999998
21,11172,11172,aides culinaires et ingrédients divers,aides culinaires,"Court-bouillon pour poissons, déshydraté","Aromatic stock cube, for fish, dehydrated",0.6070129,6.220799,2.3153095,0.23349741,0.019530673,0.02901211,9.425161593
22,39700,39700,aides culinaires et ingrédients divers,sauces,"Crème anglaise, préemballée","Light custard cream with vanilla, prepacked",1.1199501,0.18772836,0.17736425,0.21946904,0.039628148,0.0066875618,1.7508274598
23,11042,11042,aides culinaires et ingrédients divers,épices,"Cumin, graine","Cumin, seed",7.9183712,0.44532749,0.47839023,0.33498802,0.015708527,0,9.192785467
24,11089,11089,aides culinaires et ingrédients divers,épices,"Curcuma, poudre","Turmeric, powder",7.9183712,0.44532749,0.47839023,0.33498802,0.015708527,0,9.192785467
25,11005,11005,aides culinaires et ingrédients divers,épices,"Curry, poudre","Curry, powder",7.9183712,0.44532749,0.47839023,0.33498802,0.015708527,0,9.192785467
26,20988,20988,aides culinaires et ingrédients divers,algues,"Dulse (Palmaria palmata), séchée ou déshydratée","Dulse (Palmaria palmata), dried or dehydrated",4.5692586,1.4924151,0.29025198,0.19892614,0.020134715,0.0099427296,6.5809292646
27,11092,11092,aides culinaires et ingrédients divers,herbes,"Estragon, frais","Tarragon, fresh",0.19581249,0,0.30248619,0.14343405,0.01727938,0.032148159,0.6911602689999999
28,11066,11066,aides culinaires et ingrédients divers,épices,"Fenouil, graine","Fennel, seed",0.35971052,0,0.47839023,0.25043965,0.015708527,0,1.1042489269999998
29,11077,11077,aides culinaires et ingrédients divers,épices,"Fenugrec, graine","Fenugreek, seed",7.9183712,0.44532749,0.47839023,0.33498802,0.015708527,0,9.192785467
30,11082,11082,aides culinaires et ingrédients divers,sels,"Fleur de sel, non iodée, non fluorée","Pure sea salt, no enrichment",0.29805322,0,0.17736425,0.11062475,0.019530673,0,0.605572893
31,20994,20994,aides culinaires et ingrédients divers,algues,"Fucus vésiculeux (Fucus serratus ou Fucus vesiculosus), séché ou déshydraté","Toothed wrack or bladder wrack (Fucus serratus et vesiculosus), dried or dehydrated",4.5692586,1.4924151,0.29025198,0.19892614,0.020134715,0.0099427296,6.5809292646
32,11007,11007,aides culinaires et ingrédients divers,ingrédients divers,"Gélatine, sèche","Gelatine, dried",1.4507463,0.10160117,0.10111942,0.11277781,0.016099071,0,1.782343771
33,11006,11006,aides culinaires et ingrédients divers,épices,"Gingembre, poudre","Ginger, powder",0.1586463,0,0.47839023,0.32994269,0.015708527,0,0.9826877470000001
34,11074,11074,aides culinaires et ingrédients divers,épices,"Gingembre, racine crue","Ginger, raw",0.1586463,0,0,0.27952523,0.015708527,0,0.453880057
35,20993,20993,aides culinaires et ingrédients divers,algues,"Gracilaire ou ogonori (Gracilaria verrucosa), séchée ou déshydratée","Gracilaria seaweeds (Gracilaria verrucosa), dried or dehydrated",4.5692586,1.4924151,0.29025198,0.38440419,0.020134715,0.0099427296,6.7664073145999994
